reference,country_name,hdi_category,indicator_name,values
,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Maldives,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Jamaica,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Cape Verde,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,El Salvador,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Algeria,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,0.3
,Viet Nam,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,0.1
,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,..
,Indonesia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,0.9
,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,0.2
,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,0.1
,Nicaragua,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Moldova,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,0.1
,Egypt,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,0.3
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,0.5
,Mongolia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Honduras,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Bolivia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Guatemala,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Gabon,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,South Africa,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,1.5
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,0.1
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Botswana,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Namibia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Morocco,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,0.1
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,India,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,3.0
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Cambodia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Myanmar,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Bhutan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Comoros,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Ghana,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Pakistan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,0.3
,Mauritania,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Lesotho,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,..
,Congo,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,0.1
,Swaziland,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Nepal,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Madagascar,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Cameroon,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Haiti,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Sudan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Kenya,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Djibouti,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,..
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,0.1
,Togo,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Yemen,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Uganda,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Gambia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Senegal,LOW HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Eritrea,LOW HUMAN DEVELOPMENT,Share of world total (%)_1990,..
,Nigeria,LOW HUMAN DEVELOPMENT,Share of world total (%)_1990,0.2
,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Guinea,LOW HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Rwanda,LOW HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Angola,LOW HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Benin,LOW HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Malawi,LOW HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Zambia,LOW HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Côte d'Ivoire,LOW HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Burundi,LOW HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Congo (Democratic Republic of the),LOW HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Ethiopia,LOW HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Chad,LOW HUMAN DEVELOPMENT,Share of world total (%)_1990,(.)
,Central African Republic,,Share of world total (%)_1990,(.)
,Mozambique,,Share of world total (%)_1990,(.)
,Mali,,Share of world total (%)_1990,(.)
,Niger,,Share of world total (%)_1990,(.)
,Guinea-Bissau,,Share of world total (%)_1990,(.)
,Burkina Faso,,Share of world total (%)_1990,(.)
,Sierra Leone,,Share of world total (%)_1990,(.)
,Iceland,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Norway,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.3
,Australia,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,1.1
,Canada,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,2.2
,Ireland,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Sweden,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.2
,Switzerland,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Japan,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,4.3
,Netherlands,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.5
,France,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,1.3
,Finland,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.2
,United States,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,20.9
,Spain,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,1.1
,Denmark,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.2
,Austria,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.2
,United Kingdom,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,2.0
,Belgium,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.3
,Luxembourg,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,New Zealand,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Italy,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,1.6
,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Germany,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,2.8
,Israel,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.2
,Greece,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.3
,Singapore,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.2
,Korea (Republic of),HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,1.6
,Slovenia,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Cyprus,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Portugal,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.2
,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Barbados,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Czech Republic,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.4
,Kuwait,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.3
,Malta,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Qatar,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.2
,Hungary,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.2
,Poland,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,1.1
,Argentina,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.5
,United Arab Emirates,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.5
,Chile,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.2
,Bahrain,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Slovakia,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Lithuania,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Estonia,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Latvia,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Uruguay,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Croatia,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Costa Rica,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Bahamas,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Seychelles,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Cuba,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Mexico,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,1.5
,Bulgaria,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Tonga,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.2
,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Oman,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Romania,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.3
,Saudi Arabia,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,1.1
,Panama,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Malaysia,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.6
,Belarus,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.2
,Mauritius,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Russian Federation,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,5.3
,Albania,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Brazil,HIGH HUMAN DEVELOPMENT,Share of world total (%)_2004,1.1
,Dominica,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.7
,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.6
,Colombia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.2
,Ukraine,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,1.1
,Samoa,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Thailand,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.9
,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Belize,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,China,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,17.3
,Grenada,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Armenia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Turkey,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.8
,Suriname,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Jordan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Peru,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Lebanon,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Ecuador,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Philippines,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.3
,Tunisia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Fiji,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,1.5
,Paraguay,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Georgia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Guyana,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Maldives,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Jamaica,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Cape Verde,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,El Salvador,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Algeria,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.7
,Viet Nam,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.3
,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Indonesia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,1.3
,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.2
,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Nicaragua,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Moldova,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Egypt,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.5
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.5
,Mongolia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Honduras,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Bolivia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Guatemala,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Gabon,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,South Africa,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,1.5
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Botswana,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Namibia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Morocco,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,India,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,4.6
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Cambodia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Myanmar,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Bhutan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Comoros,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Ghana,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Pakistan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.4
,Mauritania,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Lesotho,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,..
,Congo,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Swaziland,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Nepal,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Madagascar,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Cameroon,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Haiti,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Sudan,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Kenya,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Djibouti,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Togo,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Yemen,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,0.1
,Uganda,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Gambia,MEDIUM HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Senegal,LOW HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Eritrea,LOW HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Nigeria,LOW HUMAN DEVELOPMENT,Share of world total (%)_2004,0.4
,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Guinea,LOW HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Rwanda,LOW HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Angola,LOW HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Benin,LOW HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Malawi,LOW HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Zambia,LOW HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Côte d'Ivoire,LOW HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Burundi,LOW HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Congo (Democratic Republic of the),LOW HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Ethiopia,LOW HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Chad,LOW HUMAN DEVELOPMENT,Share of world total (%)_2004,(.)
,Central African Republic,,Share of world total (%)_2004,(.)
,Mozambique,,Share of world total (%)_2004,(.)
,Mali,,Share of world total (%)_2004,(.)
,Niger,,Share of world total (%)_2004,(.)
,Guinea-Bissau,,Share of world total (%)_2004,(.)
,Burkina Faso,,Share of world total (%)_2004,(.)
,Sierra Leone,,Share of world total (%)_2004,(.)
,Iceland,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,7.9
,Norway,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,7.8
,Australia,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,16.3
,Canada,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,15.0
,Ireland,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,8.8
,Sweden,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,5.8
,Switzerland,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,6.2
,Japan,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,8.7
,Netherlands,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,9.4
,France,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,6.4
,Finland,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,10.3
,United States,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,19.3
,Spain,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,5.5
,Denmark,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,9.7
,Austria,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,7.4
,United Kingdom,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,10.0
,Belgium,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,10.1
,Luxembourg,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,25.9
,New Zealand,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,6.7
,Italy,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,6.9
,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,4.6
,Germany,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,12.3
,Israel,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,6.9
,Greece,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,7.1
,Singapore,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,14.9
,Korea (Republic of),HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,5.6
,Slovenia,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,6.2
,Cyprus,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,6.8
,Portugal,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,4.3
,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,23.0
,Barbados,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,4.1
,Czech Republic,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,13.4
,Kuwait,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,20.3
,Malta,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,6.3
,Qatar,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,24.9
,Hungary,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,5.8
,Poland,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,9.1
,Argentina,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,3.4
,United Arab Emirates,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,27.2
,Chile,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,2.7
,Bahrain,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,24.2
,Slovakia,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,8.4
,Lithuania,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,5.7
,Estonia,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,16.1
,Latvia,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,4.8
,Uruguay,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,1.2
,Croatia,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,3.9
,Costa Rica,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,1.0
,Bahamas,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,7.6
,Seychelles,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,1.6
,Cuba,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,3.0
,Mexico,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,5.0
,Bulgaria,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,8.4
,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,1.5
,Tonga,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,0.8
,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,9.1
,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,4.8
,Oman,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,6.3
,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,13.9
,Romania,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,6.7
,Saudi Arabia,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,15.9
,Panama,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,1.3
,Malaysia,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,3.0
,Belarus,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,9.2
,Mauritius,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,1.4
,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,1.1
,Russian Federation,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,13.4
,Albania,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,2.2
,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,5.2
,Brazil,HIGH HUMAN DEVELOPMENT,Per capita (t CO2)_1990,1.4
,Dominica,MEDIUM HUMAN DEVELOPMENT,Per capita (t CO2)_1990,0.8
